element label,point1,point2,F,sigma,sigma_y,sigma_b,sigma_lim,percent_allowed
A0204B0204,A0204,B0204,-308018.3291795605,-42620228.870853975,376000000.0,-78582534.91440612,-78582534.91440612,54.236261170852906
B0204B0104,B0204,B0104,-1363986.2201107873,-62676250.90111909,376000000.0,-122669675.44362582,-122669675.44362582,51.09351653084192
A0203A0204,A0203,A0204,519225.9859930954,207631613.69991666,376000000.0,-14095912.145203358,376000000.0,55.221173856360814
B0203B0204,B0203,B0204,-3517738.003636913,-125346131.8132267,376000000.0,-158191374.04953867,-158191374.04953867,79.23702070757267
B0204A0203,B0204,A0203,917661.5764546299,217136534.71240333,376000000.0,-15688943.312295891,376000000.0,57.74907838095833
B0104B0203,B0104,B0203,1369443.4951079355,144016401.22471058,376000000.0,-26799852.966065653,376000000.0,38.30223436827409
A0104B0204,A0104,B0204,215882.85857209124,65276902.60481422,376000000.0,-12277294.396753745,376000000.0,17.360878352344205
B0104A0204,B0104,A0204,-1717360.7463985125,-61194019.07315781,376000000.0,-104182938.65222512,-104182938.65222512,58.73708292816603
A0105A0205,A0105,A0205,632844.1111122668,112473778.32508571,376000000.0,-31715802.326706156,376000000.0,29.913238916246204
A0205B0205,A0205,B0205,-639822.3024157597,-67286387.31455186,376000000.0,-103394494.46784581,-103394494.46784581,65.07734058845556
B0205B0105,B0205,B0105,-546215.1079927584,-33590804.6300405,376000000.0,-91658668.72418213,-91658668.72418213,36.64771166502694
A0204A0205,A0204,A0205,-176406.66967519437,-24409237.774674717,376000000.0,-40737186.09962815,-40737186.09962815,59.918811561944196
B0204B0205,B0204,B0205,-2889748.956981891,-102969252.76825513,376000000.0,-158191374.04953867,-158191374.04953867,65.09157239889049
B0205A0204,B0205,A0204,1412081.5455896414,195388497.8781756,376000000.0,-26829021.403864685,376000000.0,51.96502603142967
B0105B0204,B0105,B0204,1175215.6110085414,162613564.0927575,376000000.0,-20368593.049814075,376000000.0,43.24828832254188
A0105B0205,A0105,B0205,24595.251266376603,17485006.434979867,376000000.0,-5221911.60542469,376000000.0,4.650267668877624
B0105A0205,B0105,A0205,-422066.4718104099,-25955987.28049451,376000000.0,-60365298.158707924,-60365298.158707924,42.99819278992538
A0106A0206,A0106,A0206,191207.39541469235,105828805.39714256,376000000.0,-10184296.524909332,376000000.0,28.145958882218764
A0206B0206,A0206,B0206,-372161.44745140895,-51495656.4745235,376000000.0,-78582534.91440612,-78582534.91440612,65.53066343636502
B0206B0106,B0206,B0106,-74631.45602969933,-10326689.796101695,376000000.0,-40737186.09962815,-40737186.09962815,25.349541254141645
A0205A0206,A0205,A0206,-372481.5971910834,-39171721.463151045,376000000.0,-53599705.932131305,-53599705.932131305,73.08197084653939
B0205B0206,B0205,B0206,-1248775.5488235191,-57382228.9868063,376000000.0,-122669675.44362582,-122669675.44362582,46.77784365148739
B0206A0205,B0206,A0205,765340.7779644737,181094478.2534621,376000000.0,-15688943.312295891,376000000.0,48.16342506741013
B0106B0205,B0106,B0205,496138.05586285307,88177357.95262562,376000000.0,-15857901.163353078,376000000.0,23.451424987400433
A0106B0206,A0106,B0206,51394.04801340685,36536535.06124434,376000000.0,-5221911.60542469,376000000.0,9.717163580118175
B0106A0206,B0106,A0206,-77267.23641802822,-10691400.440767253,376000000.0,-26829021.403864685,-26829021.403864685,39.85013198888861
A0200A0300,A0200,A0300,138925.39113009654,98763429.23207274,376000000.0,-7928950.581676853,376000000.0,26.26686947661509
A0300B0300,A0300,B0300,-28102.748944011983,-8497480.614623332,376000000.0,-35960346.85962748,-35960346.85962748,23.630140854295863
B0300B0200,B0300,B0200,-1808113.4436494645,-83084249.81203668,376000000.0,-122669675.44362582,-122669675.44362582,67.73006410228821
A0201A0301,A0201,A0301,385172.16655553726,116465226.41321689,376000000.0,-18641843.812030893,376000000.0,30.974794258834276
A0301B0301,A0301,B0301,-168452.38761437926,-29938615.48236797,376000000.0,-61180174.24133129,-61180174.24133129,48.93515890339266
B0301B0201,B0301,B0201,-1725299.3784519841,-79278877.69615318,376000000.0,-122669675.44362582,-122669675.44362582,64.62793466229284
A0300A0301,A0300,A0301,-41426.90681775645,-5732205.140802004,376000000.0,-40737186.09962815,-40737186.09962815,14.071185787803659
B0300B0301,B0300,B0301,-1560091.2806649809,-71687434.29656091,376000000.0,-122669675.44362582,-122669675.44362582,58.43940977043316
B0301A0300,B0301,A0300,219284.60423176415,121368881.45723677,376000000.0,-6707255.350967683,376000000.0,32.27895783437148
